z_score,prob
-3.95,0.000039076
-3.94,0.000040741
-3.93,0.000042473
-3.92,0.000044274
-3.91,0.000046148
-3.90,0.000048096
-3.89,0.000050122
-3.88,0.000052228
-3.87,0.000054418
-3.86,0.000056694
-3.85,0.000059059
-3.84,0.000061517
-3.83,0.000064072
-3.82,0.000066726
-3.81,0.000069483
-3.80,0.000072348
-3.79,0.000075324
-3.78,0.000078414
-3.77,0.000081624
-3.76,0.000084957
-3.75,0.000088417
-3.74,0.000092010
-3.73,0.000095740
-3.72,0.000099611
-3.71,0.000103630
-3.70,0.000107800
-3.69,0.000112127
-3.68,0.000116617
-3.67,0.000121275
-3.66,0.000126108
-3.65,0.000131120
-3.64,0.000136319
-3.63,0.000141711
-3.62,0.000147302
-3.61,0.000153099
-3.60,0.000159109
-3.59,0.000165339
-3.58,0.000171797
-3.57,0.000178491
-3.56,0.000185427
-3.55,0.000192616
-3.54,0.000200064
-3.53,0.000207780
-3.52,0.000215773
-3.51,0.000224053
-3.50,0.000232629
-3.49,0.000241510
-3.48,0.000250707
-3.47,0.000260229
-3.46,0.000270088
-3.45,0.000280293
-3.44,0.000290857
-3.43,0.000301791
-3.42,0.000313106
-3.41,0.000324814
-3.40,0.000336929
-3.39,0.000349463
-3.38,0.000362429
-3.37,0.000375841
-3.36,0.000389712
-3.35,0.000404058
-3.34,0.000418892
-3.33,0.000434230
-3.32,0.000450087
-3.31,0.000466480
-3.30,0.000483424
-3.29,0.000500937
-3.28,0.000519035
-3.27,0.000537737
-3.26,0.000557061
-3.25,0.000577025
-3.24,0.000597648
-3.23,0.000618951
-3.22,0.000640953
-3.21,0.000663675
-3.20,0.000687138
-3.19,0.000711364
-3.18,0.000736375
-3.17,0.000762195
-3.16,0.000788846
-3.15,0.000816352
-3.14,0.000844739
-3.13,0.000874032
-3.12,0.000904255
-3.11,0.000935437
-3.10,0.000967603
-3.09,0.001000782
-3.08,0.001035003
-3.07,0.001070294
-3.06,0.001106685
-3.05,0.001144207
-3.04,0.001182891
-3.03,0.001222769
-3.02,0.001263873
-3.01,0.001306238
-3.00,0.001349898
-2.99,0.001394887
-2.98,0.001441242
-2.97,0.001488999
-2.96,0.001538195
-2.95,0.001588870
-2.94,0.001641061
-2.93,0.001694810
-2.92,0.001750157
-2.91,0.001807144
-2.90,0.001865813
-2.89,0.001926209
-2.88,0.001988376
-2.87,0.002052359
-2.86,0.002118205
-2.85,0.002185961
-2.84,0.002255677
-2.83,0.002327400
-2.82,0.002401182
-2.81,0.002477075
-2.80,0.002555130
-2.79,0.002635402
-2.78,0.002717945
-2.77,0.002802815
-2.76,0.002890068
-2.75,0.002979763
-2.74,0.003071959
-2.73,0.003166716
-2.72,0.003264096
-2.71,0.003364160
-2.70,0.003466974
-2.69,0.003572601
-2.68,0.003681108
-2.67,0.003792562
-2.66,0.003907033
-2.65,0.004024589
-2.64,0.004145301
-2.63,0.004269243
-2.62,0.004396488
-2.61,0.004527111
-2.60,0.004661188
-2.59,0.004798797
-2.58,0.004940016
-2.57,0.005084926
-2.56,0.005233608
-2.55,0.005386146
-2.54,0.005542623
-2.53,0.005703126
-2.52,0.005867742
-2.51,0.006036558
-2.50,0.006209665
-2.49,0.006387155
-2.48,0.006569119
-2.47,0.006755653
-2.46,0.006946851
-2.45,0.007142811
-2.44,0.007343631
-2.43,0.007549411
-2.42,0.007760254
-2.41,0.007976260
-2.40,0.008197536
-2.39,0.008424186
-2.38,0.008656319
-2.37,0.008894043
-2.36,0.009137468
-2.35,0.009386706
-2.34,0.009641870
-2.33,0.009903076
-2.32,0.010170439
-2.31,0.010444077
-2.30,0.010724110
-2.29,0.011010658
-2.28,0.011303844
-2.27,0.011603792
-2.26,0.011910625
-2.25,0.012224473
-2.24,0.012545461
-2.23,0.012873721
-2.22,0.013209384
-2.21,0.013552581
-2.20,0.013903448
-2.19,0.014262118
-2.18,0.014628731
-2.17,0.015003423
-2.16,0.015386335
-2.15,0.015777607
-2.14,0.016177383
-2.13,0.016585807
-2.12,0.017003023
-2.11,0.017429178
-2.10,0.017864421
-2.09,0.018308900
-2.08,0.018762766
-2.07,0.019226172
-2.06,0.019699270
-2.05,0.020182215
-2.04,0.020675163
-2.03,0.021178270
-2.02,0.021691694
-2.01,0.022215594
-2.00,0.022750132
-1.99,0.023295468
-1.98,0.023851764
-1.97,0.024419185
-1.96,0.024997895
-1.95,0.025588060
-1.94,0.026189845
-1.93,0.026803419
-1.92,0.027428950
-1.91,0.028066607
-1.90,0.028716560
-1.89,0.029378980
-1.88,0.030054039
-1.87,0.030741909
-1.86,0.031442763
-1.85,0.032156775
-1.84,0.032884119
-1.83,0.033624969
-1.82,0.034379502
-1.81,0.035147894
-1.80,0.035930319
-1.79,0.036726956
-1.78,0.037537980
-1.77,0.038363570
-1.76,0.039203903
-1.75,0.040059157
-1.74,0.040929509
-1.73,0.041815138
-1.72,0.042716221
-1.71,0.043632937
-1.70,0.044565463
-1.69,0.045513977
-1.68,0.046478658
-1.67,0.047459682
-1.66,0.048457226
-1.65,0.049471468
-1.64,0.050502583
-1.63,0.051550748
-1.62,0.052616138
-1.61,0.053698928
-1.60,0.054799292
-1.59,0.055917403
-1.58,0.057053433
-1.57,0.058207556
-1.56,0.059379941
-1.55,0.060570758
-1.54,0.061780177
-1.53,0.063008364
-1.52,0.064255488
-1.51,0.065521712
-1.50,0.066807201
-1.49,0.068112118
-1.48,0.069436623
-1.47,0.070780877
-1.46,0.072145037
-1.45,0.073529260
-1.44,0.074933700
-1.43,0.076358510
-1.42,0.077803841
-1.41,0.079269841
-1.40,0.080756659
-1.39,0.082264439
-1.38,0.083793322
-1.37,0.085343451
-1.36,0.086914962
-1.35,0.088507991
-1.34,0.090122672
-1.33,0.091759136
-1.32,0.093417509
-1.31,0.095097918
-1.30,0.096800485
-1.29,0.098525329
-1.28,0.100272568
-1.27,0.102042315
-1.26,0.103834681
-1.25,0.105649774
-1.24,0.107487697
-1.23,0.109348552
-1.22,0.111232437
-1.21,0.113139446
-1.20,0.115069670
-1.19,0.117023196
-1.18,0.119000107
-1.17,0.121000484
-1.16,0.123024403
-1.15,0.125071936
-1.14,0.127143151
-1.13,0.129238112
-1.12,0.131356881
-1.11,0.133499513
-1.10,0.135666061
-1.09,0.137856572
-1.08,0.140071090
-1.07,0.142309654
-1.06,0.144572300
-1.05,0.146859056
-1.04,0.149169950
-1.03,0.151505003
-1.02,0.153864230
-1.01,0.156247645
-1.00,0.158655254
-0.99,0.161087060
-0.98,0.163543059
-0.97,0.166023246
-0.96,0.168527607
-0.95,0.171056126
-0.94,0.173608780
-0.93,0.176185542
-0.92,0.178786380
-0.91,0.181411255
-0.90,0.184060125
-0.89,0.186732943
-0.88,0.189429655
-0.87,0.192150202
-0.86,0.194894521
-0.85,0.197662543
-0.84,0.200454193
-0.83,0.203269392
-0.82,0.206108054
-0.81,0.208970088
-0.80,0.211855399
-0.79,0.214763884
-0.78,0.217695438
-0.77,0.220649946
-0.76,0.223627292
-0.75,0.226627352
-0.74,0.229649997
-0.73,0.232695092
-0.72,0.235762498
-0.71,0.238852068
-0.70,0.241963652
-0.69,0.245097094
-0.68,0.248252230
-0.67,0.251428895
-0.66,0.254626915
-0.65,0.257846111
-0.64,0.261086300
-0.63,0.264347292
-0.62,0.267628893
-0.61,0.270930904
-0.60,0.274253118
-0.59,0.277595325
-0.58,0.280957309
-0.57,0.284338849
-0.56,0.287739719
-0.55,0.291159687
-0.54,0.294598516
-0.53,0.298055965
-0.52,0.301531788
-0.51,0.305025731
-0.50,0.308537539
-0.49,0.312066949
-0.48,0.315613697
-0.47,0.319177509
-0.46,0.322758110
-0.45,0.326355220
-0.44,0.329968554
-0.43,0.333597821
-0.42,0.337242727
-0.41,0.340902974
-0.40,0.344578258
-0.39,0.348268273
-0.38,0.351972708
-0.37,0.355691245
-0.36,0.359423567
-0.35,0.363169349
-0.34,0.366928264
-0.33,0.370699981
-0.32,0.374484165
-0.31,0.378280478
-0.30,0.382088578
-0.29,0.385908119
-0.28,0.389738752
-0.27,0.393580127
-0.26,0.397431887
-0.25,0.401293674
-0.24,0.405165128
-0.23,0.409045885
-0.22,0.412935577
-0.21,0.416833837
-0.20,0.420740291
-0.19,0.424654565
-0.18,0.428576284
-0.17,0.432505068
-0.16,0.436440537
-0.15,0.440382308
-0.14,0.444329995
-0.13,0.448283213
-0.12,0.452241574
-0.11,0.456204687
-0.10,0.460172163
-0.09,0.464143607
-0.08,0.468118628
-0.07,0.472096830
-0.06,0.476077817
-0.05,0.480061194
-0.04,0.484046563
-0.03,0.488033527
-0.02,0.492021686
-0.01,0.496010644
0.00,0.500000000
0.01,0.503989356
0.02,0.507978314
0.03,0.511966473
0.04,0.515953437
0.05,0.519938806
0.06,0.523922183
0.07,0.527903170
0.08,0.531881372
0.09,0.535856393
0.10,0.539827837
0.11,0.543795313
0.12,0.547758426
0.13,0.551716787
0.14,0.555670005
0.15,0.559617692
0.16,0.563559463
0.17,0.567494932
0.18,0.571423716
0.19,0.575345435
0.20,0.579259709
0.21,0.583166163
0.22,0.587064423
0.23,0.590954115
0.24,0.594834872
0.25,0.598706326
0.26,0.602568113
0.27,0.606419873
0.28,0.610261248
0.29,0.614091881
0.30,0.617911422
0.31,0.621719522
0.32,0.625515835
0.33,0.629300019
0.34,0.633071736
0.35,0.636830651
0.36,0.640576433
0.37,0.644308755
0.38,0.648027292
0.39,0.651731727
0.40,0.655421742
0.41,0.659097026
0.42,0.662757273
0.43,0.666402179
0.44,0.670031446
0.45,0.673644780
0.46,0.677241890
0.47,0.680822491
0.48,0.684386303
0.49,0.687933051
0.50,0.691462461
0.51,0.694974269
0.52,0.698468212
0.53,0.701944035
0.54,0.705401484
0.55,0.708840313
0.56,0.712260281
0.57,0.715661151
0.58,0.719042691
0.59,0.722404675
0.60,0.725746882
0.61,0.729069096
0.62,0.732371107
0.63,0.735652708
0.64,0.738913700
0.65,0.742153889
0.66,0.745373085
0.67,0.748571105
0.68,0.751747770
0.69,0.754902906
0.70,0.758036348
0.71,0.761147932
0.72,0.764237502
0.73,0.767304908
0.74,0.770350003
0.75,0.773372648
0.76,0.776372708
0.77,0.779350054
0.78,0.782304562
0.79,0.785236116
0.80,0.788144601
0.81,0.791029912
0.82,0.793891946
0.83,0.796730608
0.84,0.799545807
0.85,0.802337457
0.86,0.805105479
0.87,0.807849798
0.88,0.810570345
0.89,0.813267057
0.90,0.815939875
0.91,0.818588745
0.92,0.821213620
0.93,0.823814458
0.94,0.826391220
0.95,0.828943874
0.96,0.831472393
0.97,0.833976754
0.98,0.836456941
0.99,0.838912940
1.00,0.841344746
1.01,0.843752355
1.02,0.846135770
1.03,0.848494997
1.04,0.850830050
1.05,0.853140944
1.06,0.855427700
1.07,0.857690346
1.08,0.859928910
1.09,0.862143428
1.10,0.864333939
1.11,0.866500487
1.12,0.868643119
1.13,0.870761888
1.14,0.872856849
1.15,0.874928064
1.16,0.876975597
1.17,0.878999516
1.18,0.880999893
1.19,0.882976804
1.20,0.884930330
1.21,0.886860554
1.22,0.888767563
1.23,0.890651448
1.24,0.892512303
1.25,0.894350226
1.26,0.896165319
1.27,0.897957685
1.28,0.899727432
1.29,0.901474671
1.30,0.903199515
1.31,0.904902082
1.32,0.906582491
1.33,0.908240864
1.34,0.909877328
1.35,0.911492009
1.36,0.913085038
1.37,0.914656549
1.38,0.916206678
1.39,0.917735561
1.40,0.919243341
1.41,0.920730159
1.42,0.922196159
1.43,0.923641490
1.44,0.925066300
1.45,0.926470740
1.46,0.927854963
1.47,0.929219123
1.48,0.930563377
1.49,0.931887882
1.50,0.933192799
1.51,0.934478288
1.52,0.935744512
1.53,0.936991636
1.54,0.938219823
1.55,0.939429242
1.56,0.940620059
1.57,0.941792444
1.58,0.942946567
1.59,0.944082597
1.60,0.945200708
1.61,0.946301072
1.62,0.947383862
1.63,0.948449252
1.64,0.949497417
1.65,0.950528532
1.66,0.951542774
1.67,0.952540318
1.68,0.953521342
1.69,0.954486023
1.70,0.955434537
1.71,0.956367063
1.72,0.957283779
1.73,0.958184862
1.74,0.959070491
1.75,0.959940843
1.76,0.960796097
1.77,0.961636430
1.78,0.962462020
1.79,0.963273044
1.80,0.964069681
1.81,0.964852106
1.82,0.965620498
1.83,0.966375031
1.84,0.967115881
1.85,0.967843225
1.86,0.968557237
1.87,0.969258091
1.88,0.969945961
1.89,0.970621020
1.90,0.971283440
1.91,0.971933393
1.92,0.972571050
1.93,0.973196581
1.94,0.973810155
1.95,0.974411940
1.96,0.975002105
1.97,0.975580815
1.98,0.976148236
1.99,0.976704532
2.00,0.977249868
2.01,0.977784406
2.02,0.978308306
2.03,0.978821730
2.04,0.979324837
2.05,0.979817785
2.06,0.980300730
2.07,0.980773828
2.08,0.981237234
2.09,0.981691100
2.10,0.982135579
2.11,0.982570822
2.12,0.982996977
2.13,0.983414193
2.14,0.983822617
2.15,0.984222393
2.16,0.984613665
2.17,0.984996577
2.18,0.985371269
2.19,0.985737882
2.20,0.986096552
2.21,0.986447419
2.22,0.986790616
2.23,0.987126279
2.24,0.987454539
2.25,0.987775527
2.26,0.988089375
2.27,0.988396208
2.28,0.988696156
2.29,0.988989342
2.30,0.989275890
2.31,0.989555923
2.32,0.989829561
2.33,0.990096924
2.34,0.990358130
2.35,0.990613294
2.36,0.990862532
2.37,0.991105957
2.38,0.991343681
2.39,0.991575814
2.40,0.991802464
2.41,0.992023740
2.42,0.992239746
2.43,0.992450589
2.44,0.992656369
2.45,0.992857189
2.46,0.993053149
2.47,0.993244347
2.48,0.993430881
2.49,0.993612845
2.50,0.993790335
2.51,0.993963442
2.52,0.994132258
2.53,0.994296874
2.54,0.994457377
2.55,0.994613854
2.56,0.994766392
2.57,0.994915074
2.58,0.995059984
2.59,0.995201203
2.60,0.995338812
2.61,0.995472889
2.62,0.995603512
2.63,0.995730757
2.64,0.995854699
2.65,0.995975411
2.66,0.996092967
2.67,0.996207438
2.68,0.996318892
2.69,0.996427399
2.70,0.996533026
2.71,0.996635840
2.72,0.996735904
2.73,0.996833284
2.74,0.996928041
2.75,0.997020237
2.76,0.997109932
2.77,0.997197185
2.78,0.997282055
2.79,0.997364598
2.80,0.997444870
2.81,0.997522925
2.82,0.997598818
2.83,0.997672600
2.84,0.997744323
2.85,0.997814039
2.86,0.997881795
2.87,0.997947641
2.88,0.998011624
2.89,0.998073791
2.90,0.998134187
2.91,0.998192856
2.92,0.998249843
2.93,0.998305190
2.94,0.998358939
2.95,0.998411130
2.96,0.998461805
2.97,0.998511001
2.98,0.998558758
2.99,0.998605113
3.00,0.998650102
3.01,0.998693762
3.02,0.998736127
3.03,0.998777231
3.04,0.998817109
3.05,0.998855793
3.06,0.998893315
3.07,0.998929706
3.08,0.998964997
3.09,0.998999218
3.10,0.999032397
3.11,0.999064563
3.12,0.999095745
3.13,0.999125968
3.14,0.999155261
3.15,0.999183648
3.16,0.999211154
3.17,0.999237805
3.18,0.999263625
3.19,0.999288636
3.20,0.999312862
3.21,0.999336325
3.22,0.999359047
3.23,0.999381049
3.24,0.999402352
3.25,0.999422975
3.26,0.999442939
3.27,0.999462263
3.28,0.999480965
3.29,0.999499063
3.30,0.999516576
3.31,0.999533520
3.32,0.999549913
3.33,0.999565770
3.34,0.999581108
3.35,0.999595942
3.36,0.999610288
3.37,0.999624159
3.38,0.999637571
3.39,0.999650537
3.40,0.999663071
3.41,0.999675186
3.42,0.999686894
3.43,0.999698209
3.44,0.999709143
3.45,0.999719707
3.46,0.999729912
3.47,0.999739771
3.48,0.999749293
3.49,0.999758490
3.50,0.999767371
3.51,0.999775947
3.52,0.999784227
3.53,0.999792220
3.54,0.999799936
3.55,0.999807384
3.56,0.999814573
3.57,0.999821509
3.58,0.999828203
3.59,0.999834661
3.60,0.999840891
3.61,0.999846901
3.62,0.999852698
3.63,0.999858289
3.64,0.999863681
3.65,0.999868880
3.66,0.999873892
3.67,0.999878725
3.68,0.999883383
3.69,0.999887873
3.70,0.999892200
3.71,0.999896370
3.72,0.999900389
3.73,0.999904260
3.74,0.999907990
3.75,0.999911583
3.76,0.999915043
3.77,0.999918376
3.78,0.999921586
3.79,0.999924676
3.80,0.999927652
3.81,0.999930517
3.82,0.999933274
3.83,0.999935928
3.84,0.999938483
3.85,0.999940941
3.86,0.999943306
3.87,0.999945582
3.88,0.999947772
3.89,0.999949878
3.90,0.999951904
3.91,0.999953852
3.92,0.999955726
3.93,0.999957527
3.94,0.999959259
3.95,0.999960924
3.96,0.999962525
3.97,0.999964064
3.98,0.999965542
3.99,0.999966963
4.00,0.999968329
4.01,0.999969641
4.02,0.999970901
4.03,0.999972112
4.04,0.999973274
4.05,0.999974391
4.06,0.999975464
4.07,0.999976493
4.08,0.999977482
4.09,0.999978431
4.10,0.999979342
4.11,0.999980217
4.12,0.999981056
4.13,0.999981862
4.14,0.999982635
4.15,0.999983376
4.16,0.999984088
4.17,0.999984770
4.18,0.999985425
4.19,0.999986052
4.20,0.999986654
4.21,0.999987231
4.22,0.999987785
4.23,0.999988315
4.24,0.999988824
4.25,0.999989311
4.26,0.999989779
4.27,0.999990226
4.28,0.999990655
4.29,0.999991066
4.30,0.999991460
4.31,0.999991837
4.32,0.999992199
4.33,0.999992545
4.34,0.999992876
4.35,0.999993193
4.36,0.999993497
4.37,0.999993788
4.38,0.999994066
4.39,0.999994332
4.40,0.999994587
4.41,0.999994831
4.42,0.999995065
4.43,0.999995288
4.44,0.999995502
4.45,0.999995706
4.46,0.999995902
4.47,0.999996089
4.48,0.999996268
4.49,0.999996439
4.50,0.999996602
4.51,0.999996759
4.52,0.999996908
4.53,0.999997051
4.54,0.999997187
4.55,0.999997318
4.56,0.999997442
4.57,0.999997561
4.58,0.999997675
4.59,0.999997784
4.60,0.999997888
4.61,0.999997987
4.62,0.999998081
4.63,0.999998172
4.64,0.999998258
4.65,0.999998340
4.66,0.999998419
4.67,0.999998494
4.68,0.999998566
4.69,0.999998634
4.70,0.999998699
4.71,0.999998761
4.72,0.999998821
4.73,0.999998877
4.74,0.999998931
4.75,0.999998983
4.76,0.999999032
4.77,0.999999079
4.78,0.999999124
4.79,0.999999166
4.80,0.999999207
4.81,0.999999245
4.82,0.999999282
4.83,0.999999317
4.84,0.999999351
4.85,0.999999383
4.86,0.999999413
4.87,0.999999442
4.88,0.999999470
4.89,0.999999496
4.90,0.999999521
4.91,0.999999545
4.92,0.999999567
4.93,0.999999589
4.94,0.999999609
4.95,0.999999629
4.96,0.999999648
4.97,0.999999665
4.98,0.999999682
4.99,0.999999698
5.00,0.999999713
